acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.991,['Mamie Smith'],0.598,168333,0.22399999999999998,0,0cS0A1fUEUd1EW3FcF8AEI,0.000522,5,0.379,-12.628,0,Keep A Song In Your Soul,12,1920,0.0936,149.976,0.634,1920
0.643,"[""Screamin' Jay Hawkins""]",0.852,150200,0.517,0,0hbkKFIJm7Z05H8Zl9w30f,0.0264,5,0.0809,-7.261,0,I Put A Spell On You,7,1920-01-05,0.0534,86.889,0.95,1920
0.993,['Mamie Smith'],0.647,163827,0.18600000000000005,0,11m7laMUgmOKqI3oYzuhne,1.76e-05,0,0.519,-12.097999999999999,1,Golfing Papa,4,1920,0.174,97.6,0.6890000000000001,1920
0.000173,['Oscar Velazquez'],0.73,422087,0.7979999999999999,0,19Lc5SfJJ5O1oaxY0fpwfh,0.8009999999999999,2,0.128,-7.311,1,True House Music - Xavier Santos & Carlos Gomix Remix,17,1920-01-01,0.0425,127.99700000000001,0.0422,1920
0.295,['Mixe'],0.7040000000000001,165224,0.7070000000000001,1,2hJjbsLCytGsnAHfdsLejp,0.000246,10,0.402,-6.0360000000000005,0,Xuniverxe,2,1920-10-01,0.0768,122.07600000000001,0.299,1920
0.996,['Mamie Smith & Her Jazz Hounds'],0.424,198627,0.245,0,3HnrHGLE9u2MjHtdobfWl9,0.799,5,0.235,-11.47,1,Crazy Blues - 78rpm Version,9,1920,0.0397,103.87,0.47700000000000004,1920
0.992,['Mamie Smith'],0.782,195200,0.0573,0,5DlCyqLyX2AOVDTjjkDZ8x,1.61e-06,5,0.17600000000000002,-12.453,1,Don't You Advertise Your Man,5,1920,0.0592,85.652,0.48700000000000004,1920
0.996,['Mamie Smith & Her Jazz Hounds'],0.474,186173,0.239,0,02FzJbHtqElixxCmrpSCUa,0.18600000000000005,9,0.195,-9.712,1,Arkansas Blues,0,1920,0.0289,78.78399999999998,0.366,1920
0.9520000000000001,['Dorville'],0.688,150067,0.22,0,07jrRR1CUUoPb1FLfSy9Jh,0.0,6,0.262,-15.208,0,Oouin,0,1920,0.845,82.024,0.414,1920
0.996,['Francisco Canaro'],0.579,167213,0.35600000000000004,0,0ANuF7SvPeIHanGcCpy9jR,0.948,10,0.174,-14.574000000000002,1,Desengaño - Remasterizado,0,1920-07-08,0.0394,131.494,0.703,1920
0.9790000000000001,['Aggeliki Karagianni'],0.525,258167,0.433,0,0Hn7LWy1YcKhPaA2NItG9K,0.111,2,0.134,-11.425999999999998,1,To katinaki,0,1920-01-01,0.0488,102.57799999999999,0.792,1920
0.972,['Giorgos Katsaros'],0.528,277720,0.325,0,0I6DjrEfd3fKFESHEjnelr,0.0234,11,0.102,-12.508,1,Oli mera paizei zaria,0,1920-01-01,0.0421,118.56200000000001,0.146,1920
0.996,['Francisco Canaro'],0.46799999999999997,177427,0.5329999999999999,0,0KGiP9EW1xtojDHsTGARL5,0.87,1,0.179,-11.002,1,El Africano - Remasterizado,0,1920-07-08,0.0452,136.57299999999998,0.728,1920
0.0239,['Ron van der Kraan'],0.7440000000000001,215773,0.428,0,0MwMyEO5AxYpghTU6gB85H,3.07e-05,9,0.106,-21.081,1,On a Ragga Trip,8,1920-01-03,0.0376,140.011,0.578,1920
0.25,['Jodoli'],0.521,142445,0.7759999999999999,0,0TT2zA8fatUuvTnPABz3lS,0.00088,1,0.175,-7.919,1,Taro Yard Slaughter House,0,1920-01-29,0.268,159.775,0.5670000000000001,1920
0.9840000000000001,['Dick Haymes'],0.26899999999999996,181200,0.255,0,0UztrUuVBPMn7cEys3LWQ4,0.00263,0,0.17800000000000002,-9.041,1,Serenade of the Bells,0,1920,0.0536,79.186,0.154,1920
0.9840000000000001,['Manolis Karapiperis'],0.58,267560,0.42200000000000004,0,0YCVsd1quXrjZWIiROp1vw,0.7879999999999999,8,0.34700000000000003,-12.542,1,Aidiniko,0,1920-01-01,0.0385,110.56200000000001,0.6679999999999999,1920
0.9440000000000001,['Félix Mayol'],0.6559999999999999,171200,0.292,0,0YHjhp3fj1IgLFtDsw8v3M,0.0,1,0.23399999999999999,-13.597000000000001,1,Bou Dou Ba Da Bouh,0,1920,0.126,127.325,0.723,1920
0.0323,['Meetya'],0.6970000000000001,489012,0.617,0,0Yt4hib6XmdB0YOkVl3QoL,0.902,11,0.149,-9.51,0,Day After - Original Mix,0,1920-01-01,0.0609,133.982,0.321,1920
0.021,"[""The Swingin' Bachelors""]",0.5589999999999999,288293,0.83,0,0bq1lNI8OPhdRQYZZSSnQk,0.146,11,0.187,-7.876,0,Voodoo Doll,0,1920-02-29,0.0546,107.912,0.35200000000000004,1920
0.988,['Louis Armstrong'],0.6809999999999999,180307,0.188,0,2DAK09fP0bobALaArOEeCI,0.00732,0,0.345,-12.133,1,(What Did I Do to Be So) Black and Blue,5,1923,0.0482,103.095,0.387,1923
0.996,['Francisco Canaro'],0.425,188147,0.652,0,0V29uZ25OVqdQeB7uOeUv3,0.843,10,0.715,-12.107999999999999,0,La Sulamita - Remasterizado,0,1924-07-11,0.0707,176.25599999999997,0.71,1924
0.996,['Francisco Canaro'],0.371,151000,0.429,0,0XxNSOBdA2uQSwXMthVPfO,0.968,0,0.193,-13.349,0,Francesita - Remasterizado,0,1924-07-11,0.3670000000000001,83.762,0.614,1924
0.9940000000000001,['Adolphe Bérard'],0.462,195200,0.27699999999999997,0,0cqYzfCNsc3ESTkEsE45Ns,3.57e-06,7,0.0991,-14.628,0,Les grains de beauté,0,1924,0.057999999999999996,91.775,0.835,1924
